,Country,economy,Year,Unemployment_Percentage
0,Zimbabwe,ZWE,YR1960,
1,Zambia,ZMB,YR1960,
2,"Yemen, Rep.",YEM,YR1960,
3,West Bank and Gaza,PSE,YR1960,
4,Virgin Islands (U.S.),VIR,YR1960,
5,Viet Nam,VNM,YR1960,
6,"Venezuela, RB",VEN,YR1960,
7,Vanuatu,VUT,YR1960,
8,Uzbekistan,UZB,YR1960,
9,Uruguay,URY,YR1960,
10,United States,USA,YR1960,
11,United Kingdom,GBR,YR1960,
12,United Arab Emirates,ARE,YR1960,
13,Ukraine,UKR,YR1960,
14,Uganda,UGA,YR1960,
15,Tuvalu,TUV,YR1960,
16,Turks and Caicos Islands,TCA,YR1960,
17,Turkmenistan,TKM,YR1960,
18,Turkiye,TUR,YR1960,
19,Tunisia,TUN,YR1960,
20,Trinidad and Tobago,TTO,YR1960,
21,Tonga,TON,YR1960,
22,Togo,TGO,YR1960,
23,Timor-Leste,TLS,YR1960,
24,Thailand,THA,YR1960,
25,Tanzania,TZA,YR1960,
26,Tajikistan,TJK,YR1960,
27,Syrian Arab Republic,SYR,YR1960,
28,Switzerland,CHE,YR1960,
29,Sweden,SWE,YR1960,
30,Suriname,SUR,YR1960,
31,Sudan,SDN,YR1960,
32,St. Vincent and the Grenadines,VCT,YR1960,
33,St. Martin (French part),MAF,YR1960,
34,St. Lucia,LCA,YR1960,
35,St. Kitts and Nevis,KNA,YR1960,
36,Sri Lanka,LKA,YR1960,
37,Spain,ESP,YR1960,
38,South Sudan,SSD,YR1960,
39,South Africa,ZAF,YR1960,
40,Somalia,SOM,YR1960,
41,Solomon Islands,SLB,YR1960,
42,Slovenia,SVN,YR1960,
43,Slovak Republic,SVK,YR1960,
44,Sint Maarten (Dutch part),SXM,YR1960,
45,Singapore,SGP,YR1960,
46,Sierra Leone,SLE,YR1960,
47,Seychelles,SYC,YR1960,
48,Serbia,SRB,YR1960,
49,Senegal,SEN,YR1960,
50,Saudi Arabia,SAU,YR1960,
51,Sao Tome and Principe,STP,YR1960,
52,San Marino,SMR,YR1960,
53,Samoa,WSM,YR1960,
54,Rwanda,RWA,YR1960,
55,Russian Federation,RUS,YR1960,
56,Romania,ROU,YR1960,
57,Qatar,QAT,YR1960,
58,Puerto Rico,PRI,YR1960,
59,Portugal,PRT,YR1960,
60,Poland,POL,YR1960,
61,Philippines,PHL,YR1960,
62,Peru,PER,YR1960,
63,Paraguay,PRY,YR1960,
64,Papua New Guinea,PNG,YR1960,
65,Panama,PAN,YR1960,
66,Palau,PLW,YR1960,
